panel,M,C,on_A_final,on_B_final,off_A_final,off_B_final,d_on_max_pp,d_on_final_pp,d_off_max_pp,d_off_final_pp,spec_A_final,spec_B_final,spec_pct_final,spec_log2_final,depletion_pct,sequestration_pct,min_Cfree,timing_pct,spearman_off,ranking_inversions,nan_inf,min_cleaved,gpu,gpu_time_s,flag_on_1pp,flag_on_5pp,flag_spec,flag_depletion,flag_timing,flag_ranking
DEFENSIBLE,100,0.1,0.9997217270025255,0.9997081655673321,0.026723901425927177,0.02669498902347211,0.20778936837271278,-0.0013561435193376603,0.004818581175162519,-0.0028912402455068265,37.40927310842419,37.449281760365935,0.10694848794786248,0.001542116043944286,0.5686712923002157,0.5686751211196459,0.09943132870769979,0.5752037566582822,0.9999628942486085,0,False,-5.3246707779020596e-11,True,25.75038456916809,False,False,False,False,False,False
DEFENSIBLE,100,0.3,1.0,1.0,0.033862803487817617,0.033824057801765506,0.205940372442448,0.0,0.0047619394269268756,-0.0038745686052110706,29.530927654298505,29.564755530847,0.114550673600556,0.00165167106767816,0.565184714878908,0.5651941408324479,0.29830444585536325,0.5652265317464013,0.9999752628324057,0,False,-1.5051216056879778e-10,True,45.74048328399658,False,False,False,False,False,False
DEFENSIBLE,100,1.0,1.0,1.0,0.04258288995963954,0.04254735720522598,0.20042901438867,0.0,0.004583902062004798,-0.0035532754413557244,23.48361045772905,23.503222424674345,0.08351342303431515,0.0012043411892846882,0.5544952813649084,0.554520128259243,0.9944550471863509,0.534108458910765,0.9999876314162028,0,False,-6.194328151531385e-10,True,46.86771035194397,False,False,False,False,False,False
DEFENSIBLE,100,3.0,1.0,1.0,0.050115723123774165,0.050086387619617014,0.18732372424954402,0.0,0.004190064675164626,-0.0029335504157151915,19.95381763743644,19.96550455134782,0.05856981417657396,0.0008447364484406113,0.530269512161663,0.5302695121639823,2.98409191463515,0.4859488204263067,0.9999752628324057,0,False,-1.0013416281307451e-09,True,47.26116871833801,False,False,False,False,False,False
DEFENSIBLE,100,10.0,1.0,1.0,0.057168684120595836,0.05714247335750867,0.1586759576004182,0.0,0.003392381003719698,-0.0026210763087168576,17.492094061025337,17.50011753474611,0.04586914347007421,0.0006616001345807203,0.4748203217618707,0.4748203217668357,9.952517967823812,0.4233772352762226,0.999925788497217,0,False,-5.638812645652201e-09,True,8.820851564407349,False,False,False,False,False,False
DEFENSIBLE,100,30.0,1.0,1.0,0.06607309428415153,0.06603699845901648,0.1194215709782287,0.0,0.003609582513505738,-0.003609582513505738,15.134753575854972,15.143026232566754,0.054660002690620636,0.0007883617085249516,0.39057266599562546,0.3905726660062165,29.882828200201313,0.29042621003212665,0.9999505256648114,0,False,-9.37031789787605e-09,True,43.32302784919739,False,False,False,False,False,False
DEFENSIBLE,100,100.0,1.0,1.0,0.07890580559808807,0.07888145874885957,0.06747561899371757,0.0,0.00243468492285015,-0.00243468492285015,12.673338703122715,12.67725034308877,0.03086511027351904,0.00044522070988350264,0.2626543222426281,0.2626383463320472,99.73734567775738,0.12890330992527818,0.9999628942486085,0,False,-2.3888056551029495e-08,True,44.253448247909546,False,False,False,False,False,False
DEFENSIBLE,1000,0.1,0.9997217270025255,0.999548715118374,0.02664521473699354,0.02632133642776001,2.153262273860135,-0.017301188415153046,0.04863006895613198,-0.03238783092335308,37.51974742305295,37.97484667329494,1.2129592587885014,0.017394023840590026,5.728694079637564,5.728694079644216,0.09427130592036244,6.005331603834444,0.9999097052964788,0,False,-6.393810406641109e-11,True,39.54568862915039,True,False,False,True,False,False
DEFENSIBLE,1000,0.3,1.0,1.0,0.0343202476381728,0.03385036508517037,2.1368451813369105,0.0,0.04813953271018533,-0.04698825530024264,29.137318894477023,29.541778868687945,1.3881166475051836,0.019888568925357092,5.700591674752731,5.700591674781622,0.2828982249757418,5.912586013163549,0.9998917594949659,0,False,-1.6642660676674368e-10,True,39.04077100753784,True,False,False,True,False,False
DEFENSIBLE,1000,1.0,1.0,1.0,0.04681842799753009,0.04614909488451245,2.083809779927581,0.0,0.0669333113017638,-0.0669333113017638,21.35911099004426,21.66889735282607,1.4503710520826048,0.020774141723656568,5.610530058819796,5.610530059269587,0.943894699411802,5.7079321411252755,0.9998964776399646,1,False,-5.516003389678666e-10,True,12.702871561050415,True,False,False,True,False,True
DEFENSIBLE,1000,3.0,1.0,1.0,0.062491981907885116,0.061706218021308754,1.9470772781076118,0.0,0.07857638865763628,-0.07857638865763628,16.002052894690156,16.20582223396787,1.2733949863727514,0.018255220906362463,5.392186926412446,5.392186931932383,2.8382343922076267,5.30233913326124,0.999911113518328,0,False,-1.631822224007782e-09,True,10.960501670837402,True,False,False,True,False,False
DEFENSIBLE,1000,10.0,1.0,1.0,0.08313016246428176,0.08231386527347882,1.6414779008449454,0.0,0.08162971908029365,-0.08162971908029365,12.029328108406345,12.148621579918045,0.991688566781424,0.014236566671261722,4.850403672742343,4.850403723749489,9.514959632725766,4.388244954148174,0.9998815408594968,0,False,-5.439519048560882e-09,True,5.686165809631348,True,False,False,False,False,False
